r,t,M,D,K,S,num_points,num_missed,error,acc,spr_error,spr_perc,runtime,rep_time,cluster_time
0,0,9,6,5,30,150,83,0.5533333333333333,0.44666666666666666,0.43883594598678916,4.0,5.0449195580149535,1.6224058259977028,3.4225137320172507
0,1,9,6,5,30,150,83,0.5533333333333333,0.44666666666666666,0.48174315664992956,7.333333333333334,0.23855280497809872,0.0056871639972087,0.23286564098089002
0,2,9,6,5,30,150,98,0.6533333333333333,0.3466666666666667,0.48953471225216383,7.333333333333334,0.24399395799264312,0.005482098989887163,0.23851185900275595
0,3,9,6,5,30,150,98,0.6533333333333333,0.3466666666666667,0.5208667844860005,5.333333333333334,0.244164047006052,0.0058291470049880445,0.23833490000106394
0,4,9,6,5,30,150,81,0.54,0.45999999999999996,0.47089604566316373,6.000000000000001,0.2413128100160975,0.005265651008812711,0.2360471590072848
0,5,9,6,5,30,150,92,0.6133333333333333,0.3866666666666667,0.4986038313714587,4.0,0.24461157200857997,0.0058446910115890205,0.23876688099699095
0,6,9,6,5,30,150,89,0.5933333333333334,0.4066666666666666,0.4498082042470806,8.666666666666668,0.2360771429957822,0.0054126369941513985,0.2306645060016308
0,7,9,6,5,30,150,89,0.5933333333333334,0.4066666666666666,0.4692194349769979,8.0,0.23279429000103846,0.004673982999520376,0.22812030700151809
0,8,9,6,5,30,150,106,0.7066666666666667,0.29333333333333333,0.5580595667181453,2.666666666666667,0.23805702599929646,0.004358450009021908,0.23369857599027455
0,9,9,6,5,30,150,72,0.48,0.52,0.45393833753631424,3.333333333333334,0.24248305798391812,0.0053313649841584265,0.2371516929997597
0,10,9,6,5,30,150,72,0.48,0.52,0.45864087363142114,9.333333333333334,0.23292785001103766,0.0054411460005212575,0.2274867040105164
0,11,9,6,5,30,150,93,0.62,0.38,0.4898917340961228,5.333333333333334,0.2406875989981927,0.0038400199846364558,0.23684757901355624
0,12,9,6,5,30,150,103,0.6866666666666666,0.31333333333333335,0.5134167245782485,5.333333333333334,0.24002357700373977,0.004670118010835722,0.23535345899290405
0,13,9,6,5,30,150,95,0.6333333333333333,0.3666666666666667,0.504708583784562,4.666666666666667,0.2337769390142057,0.004530445003183559,0.22924649401102215
0,14,9,6,5,30,150,88,0.5866666666666667,0.41333333333333333,0.5090150500928919,3.333333333333334,0.23950873498688452,0.004748734005261213,0.2347600009816233
0,15,9,6,5,30,150,91,0.6066666666666667,0.3933333333333333,0.5225747811485257,6.666666666666668,0.2419735639996361,0.0038036080077290535,0.23816995599190705
0,16,9,6,5,30,150,87,0.58,0.42000000000000004,0.4941891574114733,10.666666666666668,0.24016791197936982,0.0047337369760498405,0.23543417500331998
0,17,9,6,5,30,150,89,0.5933333333333334,0.4066666666666666,0.4863508029073197,4.0,0.2388739540183451,0.005415596009697765,0.23345835800864734
0,18,9,6,5,30,150,100,0.6666666666666666,0.33333333333333337,0.47882114201213544,3.333333333333334,0.23888689200975932,0.0036679170152638108,0.2352189749944955
0,19,9,6,5,30,150,84,0.56,0.43999999999999995,0.45145908757111425,7.333333333333334,0.23727234298712574,0.005845228995895013,0.23142711399123073
0,20,9,6,5,30,150,102,0.68,0.31999999999999995,0.531999102604711,2.666666666666667,0.2310234339965973,0.003688607976073399,0.2273348260205239
0,21,9,6,5,30,150,97,0.6466666666666666,0.3533333333333334,0.4756463851538225,4.0,0.2412900140043348,0.004963571991538629,0.23632644201279618
0,22,9,6,5,30,150,101,0.6733333333333333,0.32666666666666666,0.5265035738548459,4.0,0.23629496502690017,0.004885379021288827,0.23140958600561135
0,23,9,6,5,30,150,89,0.5933333333333334,0.4066666666666666,0.4295995547595127,4.666666666666667,0.23152790401945822,0.006316615006653592,0.22521128901280463
0,24,9,6,5,30,150,90,0.6,0.4,0.45522236274436023,9.333333333333334,0.2416566499741748,0.003749828989384696,0.2379068209847901
0,25,9,6,5,30,150,95,0.6333333333333333,0.3666666666666667,0.5205813318955219,4.666666666666667,0.2284245570190251,0.0036901220155414194,0.22473443500348367
0,26,9,6,5,30,150,102,0.68,0.31999999999999995,0.5053362025246344,5.333333333333334,0.23241775398491882,0.0054386739793699235,0.2269790800055489
0,27,9,6,5,30,150,92,0.6133333333333333,0.3866666666666667,0.4931874262953043,4.666666666666667,0.24238337998394854,0.0035566469887271523,0.2388267329952214
0,28,9,6,5,30,150,92,0.6133333333333333,0.3866666666666667,0.5244093783648259,8.666666666666668,0.23627088000648655,0.003608600003644824,0.23266228000284173
0,29,9,6,5,30,150,79,0.5266666666666666,0.4733333333333334,0.45025773994910556,2.666666666666667,0.2368845230084844,0.005877693009097129,0.23100682999938726
0,30,9,6,5,30,150,99,0.66,0.33999999999999997,0.495344158219048,1.3333333333333335,0.23612270099692978,0.0038032119919080287,0.23231948900502175
0,31,9,6,5,30,150,72,0.48,0.52,0.42819842784087486,6.000000000000001,0.22434993300703354,0.0035579639952629805,0.22079196901177056
0,32,9,6,5,30,150,93,0.62,0.38,0.5125817804570189,4.0,0.2334409889881499,0.003597016999265179,0.22984397198888473
0,33,9,6,5,30,150,86,0.5733333333333334,0.42666666666666664,0.4892653620138464,5.333333333333334,0.2269274209975265,0.0035590530023910105,0.2233683679951355
0,34,9,6,5,30,150,101,0.6733333333333333,0.32666666666666666,0.5610786165535797,4.666666666666667,0.23959155898774043,0.0035064959956798702,0.23608506299206056
0,35,9,6,5,30,150,98,0.6533333333333333,0.3466666666666667,0.4912527114782535,6.000000000000001,0.23664425901370123,0.0035075030173175037,0.23313675599638373
0,36,9,6,5,30,150,96,0.64,0.36,0.5013151040483398,6.666666666666668,0.23543226302717812,0.003551397006958723,0.2318808660202194
0,37,9,6,5,30,150,90,0.6,0.4,0.5095549037798651,9.333333333333334,0.23182534499210306,0.0035227280168328434,0.2283026169752702
0,38,9,6,5,30,150,110,0.7333333333333333,0.2666666666666667,0.5001564247099153,2.0,0.23591019798186608,0.005434327991679311,0.23047586999018677
0,39,9,6,5,30,150,96,0.64,0.36,0.4436522891815029,8.666666666666668,0.23463512997841462,0.003647142992122099,0.23098798698629253
0,40,9,6,5,30,150,100,0.6666666666666666,0.33333333333333337,0.5467716702200603,3.333333333333334,0.2403628689935431,0.003631124011008069,0.23673174498253502
0,41,9,6,5,30,150,93,0.62,0.38,0.46136134693185077,11.333333333333334,0.22806735301855952,0.00357856199843809,0.22448879102012143
0,42,9,6,5,30,150,85,0.5666666666666667,0.43333333333333335,0.42955915908130693,4.0,0.23735066101653501,0.004292361991247162,0.23305829902528785
0,43,9,6,5,30,150,87,0.58,0.42000000000000004,0.47968778938259404,6.000000000000001,0.22883500400348566,0.003729646996362135,0.22510535700712353
0,44,9,6,5,30,150,97,0.6466666666666666,0.3533333333333334,0.503803038470951,2.0,0.23661405002349056,0.004226425022352487,0.23238762500113808
0,45,9,6,5,30,150,98,0.6533333333333333,0.3466666666666667,0.4806930497804359,4.0,0.23131359499529935,0.0037256070063449442,0.2275879879889544
0,46,9,6,5,30,150,96,0.64,0.36,0.5521320580248024,3.333333333333334,0.22654141701059416,0.0034953760041389614,0.2230460410064552
0,47,9,6,5,30,150,79,0.5266666666666666,0.4733333333333334,0.49020415276855456,2.666666666666667,0.2376676400017459,0.004217072011670098,0.2334505679900758
0,48,9,6,5,30,150,94,0.6266666666666667,0.3733333333333333,0.5303634249573743,4.0,0.24796145799336955,0.005315550981322303,0.24264590701204725
0,49,9,6,5,30,150,84,0.56,0.43999999999999995,0.4834648513726894,6.000000000000001,0.23952211000141688,0.0035292160173412412,0.23599289398407564
1,0,9,6,5,55,275,173,0.6290909090909091,0.37090909090909085,0.39650352145403245,12.727272727272728,4.60018950299127,1.1674816549930256,3.4327078479982447
1,1,9,6,5,55,275,153,0.5563636363636364,0.4436363636363636,0.4080313432254018,10.181818181818182,0.2499348999990616,0.005514533986570314,0.24442036601249129
1,2,9,6,5,55,275,120,0.43636363636363634,0.5636363636363637,0.37195948790179795,15.636363636363637,0.2363013080030214,0.005681262991856784,0.23062004501116462
1,3,9,6,5,55,275,157,0.5709090909090909,0.4290909090909091,0.4071307020368668,8.363636363636363,0.24493746500229463,0.004879946995060891,0.24005751800723374
1,4,9,6,5,55,275,138,0.5018181818181818,0.49818181818181817,0.38631510705789796,11.636363636363637,0.2507896549941506,0.005957100016530603,0.24483255497762002
1,5,9,6,5,55,275,148,0.5381818181818182,0.4618181818181818,0.4091939445103205,10.90909090909091,0.2485580679785926,0.005571841989876702,0.2429862259887159
1,6,9,6,5,55,275,124,0.4509090909090909,0.5490909090909091,0.37573256222192436,13.818181818181818,0.23100043399608694,0.005763290013419464,0.22523714398266748
1,7,9,6,5,55,275,150,0.5454545454545454,0.4545454545454546,0.3775452795725113,16.363636363636363,0.24079037000774406,0.005553547001909465,0.2352368230058346
1,8,9,6,5,55,275,137,0.49818181818181817,0.5018181818181818,0.3980622928356404,10.545454545454545,0.24602628502179869,0.004916994017548859,0.24110929100424983
1,9,9,6,5,55,275,125,0.45454545454545453,0.5454545454545454,0.42486396326706816,8.0,0.24797601898899302,0.005806564004160464,0.24216945498483256
1,10,9,6,5,55,275,136,0.49454545454545457,0.5054545454545454,0.4129030610995519,12.363636363636363,0.24888135999208316,0.005792275012936443,0.24308908497914672
1,11,9,6,5,55,275,156,0.5672727272727273,0.43272727272727274,0.41035824970757884,11.272727272727273,0.244444273004774,0.006033459008904174,0.23841081399586983
1,12,9,6,5,55,275,170,0.6181818181818182,0.38181818181818183,0.4377846350622684,9.818181818181818,0.23985005999566056,0.005827907007187605,0.23402215298847295
1,13,9,6,5,55,275,135,0.4909090909090909,0.509090909090909,0.38890910791886574,9.090909090909092,0.24244290599017404,0.0057263350172434,0.23671657097293064
1,14,9,6,5,55,275,131,0.4763636363636364,0.5236363636363637,0.4047957232221217,12.727272727272728,0.2450976159889251,0.005353268992621452,0.23974434699630365
1,15,9,6,5,55,275,145,0.5272727272727272,0.4727272727272728,0.39183668629706864,10.181818181818182,0.24912635897635482,0.0036134189867880195,0.2455129399895668
1,16,9,6,5,55,275,126,0.4581818181818182,0.5418181818181818,0.3918307188470507,13.090909090909092,0.24516204700921662,0.00577599200187251,0.2393860550073441
1,17,9,6,5,55,275,94,0.3418181818181818,0.6581818181818182,0.39807052229398815,13.818181818181818,0.24331662300392054,0.004467762017156929,0.2388488609867636
1,18,9,6,5,55,275,123,0.44727272727272727,0.5527272727272727,0.3764443175911368,13.090909090909092,0.23571732599521056,0.005805117980344221,0.22991220801486634
1,19,9,6,5,55,275,140,0.509090909090909,0.49090909090909096,0.3834069082885986,10.545454545454545,0.2447306879912503,0.005516901990631595,0.2392137860006187
1,20,9,6,5,55,275,102,0.3709090909090909,0.6290909090909091,0.34777442474167175,10.545454545454545,0.23011687700636685,0.005584833008470014,0.22453204399789684
1,21,9,6,5,55,275,132,0.48,0.52,0.4211558659434482,13.090909090909092,0.22884335997514427,0.0035740219755098224,0.22526933799963444
1,22,9,6,5,55,275,146,0.5309090909090909,0.4690909090909091,0.4224396426116152,10.181818181818182,0.2409587959991768,0.005820343008963391,0.2351384529902134
1,23,9,6,5,55,275,194,0.7054545454545454,0.29454545454545455,0.3972051734920769,9.454545454545455,0.2303465269797016,0.004801570990821347,0.22554495598888025
1,24,9,6,5,55,275,124,0.4509090909090909,0.5490909090909091,0.3754679440147518,14.181818181818182,0.24392413700115867,0.0054127839975990355,0.23851135300355963
